"","Genus","Kingdom","Phylum","Class","Order","Family","Species","OTU","guid","mbNumber","taxonomicLevel","trophicMode","guild","confidenceRanking","growthForm","trait","notes","citationSource"
"24","Amaurodon","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae",NA,"48c7bca08c0290e964b6e23b7b9525f4","65D1DFF0-45D4-46C5-BAE5-4720A41ECCAF","17054","Genus","Symbiotroph","Ectomycorrhizal","Possible","Corticioid","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)) (as ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (as not ECM)"
"25","Amphinema","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Atheliaceae","s__unidentified","d5b485031f1a0216aefdb39f14273530","1CB1C46F-36B9-11D5-9548-00D0592D548C","17060","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","Corticioid","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"26","Amphinema","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Atheliaceae","s__unidentified","87fded3cee640ca219fefe5bdfa09dd8","1CB1C46F-36B9-11D5-9548-00D0592D548C","17060","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","Corticioid","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"27","Amphinema","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Atheliaceae","s__unidentified","f6177fac8287a2da6387b3aacbafe736","1CB1C46F-36B9-11D5-9548-00D0592D548C","17060","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","Corticioid","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"28","Amphinema","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Atheliaceae","s__unidentified","52b64f21c74c84764825c33d917ca7f0","1CB1C46F-36B9-11D5-9548-00D0592D548C","17060","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","Corticioid","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"29","Amphinema","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Atheliaceae","s__unidentified","5a39d18dd50becd6580a6cde579b50f2","1CB1C46F-36B9-11D5-9548-00D0592D548C","17060","Genus","Symbiotroph","Ectomycorrhizal","Highly Probable","Corticioid","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
"30","Amylocorticiellum","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Amylocorticiales","f__Amylocorticiaceae","s__Amylocorticiellum_molle","3e3c0ba2b5a67eb83dc952de4ebf64c8","01898B69-3447-4EAC-B250-646F4B3D5CF8","28664","Genus","Saprotroph","Saprotroph","Probable","Corticioid","Brown Rot","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"31","Aphroditeola","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hygrophoraceae","s__Aphroditeola_olida","bd0128bba10291e93e7e1849bf7eee4e","D2B181CD-24DC-4C1C-AB77-CAAADA01F4E4","550119","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"32","Arrhenia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae",NA,"2d1d92ee61eb1b336d483d3423424629","1CB1C4A8-36B9-11D5-9548-00D0592D548C","17100","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"33","Arrhenia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae",NA,"dcae7472ac85d12acb21aa77a949dfba","1CB1C4A8-36B9-11D5-9548-00D0592D548C","17100","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"34","Arrhenia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae",NA,"fed9b271fc891c9c9dd2b924005042a1","1CB1C4A8-36B9-11D5-9548-00D0592D548C","17100","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"35","Arrhenia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","s__Arrhenia_acerosa","f964bd327a9be694b6e3ac84793d45a0","1CB1C4A8-36B9-11D5-9548-00D0592D548C","17100","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"36","Arrhenia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae",NA,"ff0e64ee595fc8744a03c991f116e849","1CB1C4A8-36B9-11D5-9548-00D0592D548C","17100","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"37","Arrhenia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","s__Arrhenia_subglobispora","8449cb772a4ffdb855a2187b297474c4","1CB1C4A8-36B9-11D5-9548-00D0592D548C","17100","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"38","Arrhenia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","s__Arrhenia_acerosa","3c0d61769eb3494459415259b668d6e7","1CB1C4A8-36B9-11D5-9548-00D0592D548C","17100","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"39","Arrhenia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae",NA,"ddcf2340b05f4e12b7d686ae2a5c28db","1CB1C4A8-36B9-11D5-9548-00D0592D548C","17100","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"40","Arrhenia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae",NA,"95d3071900dea141fc5ecd7ad6a58019","1CB1C4A8-36B9-11D5-9548-00D0592D548C","17100","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"41","Arrhenia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae",NA,"f6d98461ced4bad5027c9cb2065918f4","1CB1C4A8-36B9-11D5-9548-00D0592D548C","17100","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"42","Arrhenia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae",NA,"6ae094f50f585f9d8c32bcc68812b722","1CB1C4A8-36B9-11D5-9548-00D0592D548C","17100","Genus","Saprotroph","Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
