,Full.ID,Sample.Type,Upper.Depth,Lower.Depth,Depth,Climo,Site,Horizon,Category,Pit,EEMT,AI,MAP,MAT,Elevation,CIW,pH.CaCl2,pH.DI,Silt.Percent,Sand.Percent,Clay.Percent,Random.Pit,P.Stock.kg.m2.43cm.pit,N.Stock.kg.m2.43cm.pit,P.Stock.Pit.O.A.B.CwGeo,N.Stock.Pit.O.A.B.CwGeo,N.mmol.kgsoil,P.mmol.kgsoil,soil.molar.N.P,soil.N.mg.kg,soil.P.mg.kg,soil.mass.N.P,Olsen_P,Olsen_P.mmol.kg,Olsen.percent.of.total,soil.P.percent,P.Stock.kg.m2,soil.N.percent,N.Stock.kg.m2,soil.C.mg.kg,soil.C.percent,soil.molar.C.N,soil.molar.C.P,MB.N.P,MB.N.P.molar,MB.C.mmol.kg,MB.N.mmol.kg,MB.P.mmol.kg,MBP.percent,MBN.percent,MBC,MBP,MBN,mmolMBP.mmolMBC,mmolMBN.mmolMBC,MB.N.P.MBC,mmolMBP.mmolSOC,mmolMBN.mmolSOC,mmolMBC.mmolSOC,MBC.percent,MB.C.N.molar,MB.C.P.molar,Enzyme.N.P.molar,Enzyme.N.P.mass,NAG.corr,AP.corr,BG.corr,NAG.SOC,AP.SOC,NAG.MBC,AP.MBC,BG.SOC,BG.MBC,Enzyme.C.N.molar,Enzyme.C.P.molar,Root.N.mg.kg,Root.P.mg.kg,Root.N.mmol.kg,Root.P.mmol.kg,Root.N.P.mmol.kg,Root.N.P.mg.kg,Root.C.mg.kg,Root.C.mmol.kg,Root.C.N.mmol.kg,Root.C.P.mmol.kg,NMR.Ortho.Percent,NMR.DNA.Percent,NMR.Pyro.Percent,NMR.Phosphonate.Percent,NMR.Phospholipid.A.B.RNA.Corr.Percent,NMR.Diester.2.Percent,NMR.Mono.A.B.RNA.Corr.Percent,NMR.Die.Region.A.B.RNA.Percent,NMR.Mono.Die.Region.A.B.RNA,NMR.Total.Inorganic.Percent,NMR.Total.Organic.Percent,Ca.Pi.Percent,Ca.Po.Percent,Al.Pi.Percent,Al.Po.Percent,Fe.Pi.Percent,Fe.Po.Percent,Na.Pi.Percent,Na.Po.Percent,XANES.Total.Inorganic.Percent,XANES.Total.Organic.Percent,C.mmol.kgsoil,C.g.kg.Bd.thick.gravel.weighted,P.Stock.kg.m2.43cm.pit.log,N.Stock.kg.m2.43cm.pit.log,P.Stock.Pit.O.A.B.CwGeo.log,N.Stock.Pit.O.A.B.CwGeo.log,N.mmol.kgsoil.log,P.mmol.kgsoil.log,C.mmol.kgsoil.log,soil.molar.N.P.log,soil.molar.C.N.log,soil.molar.C.P.log,soil.N.mg.kg.log,soil.P.mg.kg.log,soil.C.mg.kg.log,soil.mass.N.P.log,Olsen_P.log,Olsen_P.mmol.kg.log,Olsen.percent.of.total.log,soil.P.percent.log,soil.C.percent.log,P.Stock.kg.m2.log,soil.N.percent.log,N.Stock.kg.m2.log,MB.N.P.log,MB.C.N.molar.log,MB.C.P.molar.log,MB.N.P.molar.log,MB.C.mmol.kg.log,MB.N.mmol.kg.log,MB.P.mmol.kg.log,MBP.percent.log,MBN.percent.log,MBC.percent.log,MBC.log,MBP.log,MBN.log,mmolMBP.mmolMBC.log,mmolMBN.mmolMBC.log,MB.N.P.MBC.log,mmolMBP.mmolSOC.log,mmolMBN.mmolSOC.log,mmolMBC.mmolSOC.log,Enzyme.N.P.molar.log,Enzyme.C.N.molar.log,Enzyme.C.P.molar.log,Enzyme.N.P.mass.log,BG.corr.log,NAG.corr.log,AP.corr.log,NAG.SOC.log,AP.SOC.log,BG.SOC.log,NAG.MBC.log,AP.MBC.log,BG.MBC.log,Root.N.mg.kg.log,Root.P.mg.kg.log,Root.C.mg.kg.log,Root.N.mmol.kg.log,Root.P.mmol.kg.log,Root.C.mmol.kg.log,Root.N.P.mmol.kg.log,Root.C.N.mmol.kg.log,Root.C.P.mmol.kg.log,Root.N.P.mg.kg.log
85,GR3 S1 16-27,Soil,16,27,21.5,WM,GR3,B,B,I,6.796,0.51,276.5,7.3,2480,50.64350046,6.33,7.01,11.49,61.61,26.9,Y,NA,NA,NA,NA,27.66,24.68,1.120745543,387.5166,764.3396,0.506743587,2.022944484,0.065319486,0.264665665,0.07643396,0.0767,0.03875166,0.04,4910,0.491,14.7780188,16.5623987,NA,NA,1.170154403,NA,0.001364372,4.23E-06,NA,14.05472454,0.04225459,NA,0.001165976,NA,NA,3.34E-06,NA,0.002862693,0.001405472,NA,857.6721975,0.362650365,0.164014687,14.82583017,40.88188407,33.69067117,3.63E-05,0.000100014,0.012669978,0.034937171,8.24E-05,0.028791646,2.272430669,0.824097811,12371.6319,870.184049,883.2652873,28.09764446,31.43556352,14.21725888,407600,33936.4067,38.42153336,1207.802553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408.76,3.977494927,NA,NA,NA,NA,1.457276186,1.392345155,2.61146839,0.04950702,1.169616215,1.219123235,2.589409579,2.883286361,3.691081492,-0.295211739,0.305983965,-1.184957241,-0.577302396,-1.116713639,-0.308918508,-1.115204636,0.016511731,0.017033339,NA,NA,2.933321332,NA,0.068243171,NA,-2.865067313,-5.374126108,NA,-2.852177662,1.147822338,-1.374126108,NA,-2.933310485,NA,NA,-5.476535704,NA,-2.543225219,-0.440511881,0.356490642,-0.084021239,-0.78511726,1.527509663,1.171019021,1.611530902,-4.44044937,-3.999937488,-4.083958728,-1.89722415,-1.456712269,-1.540733508,4.09242699,2.939611118,5.610234175,2.946091163,1.448669913,4.530665856,1.49742125,1.584574693,3.081995943,1.152815872
86,GR3 S1 27-40,Soil,27,40,33.5,WM,GR3,B,B,I,6.796,0.51,276.5,7.3,2480,50.63782214,6.2,6.99,10.39,64.32,25.29,Y,NA,NA,NA,NA,17.81,28.87,0.61690336,249.5181,894.1039,0.278911641,1.188573979,0.038378236,0.13293466,0.08941039,0.0988,0.02495181,0.03,3130,0.313,14.63615946,9.029095947,NA,NA,3.047892877,0.234975776,NA,NA,0.000329124,36.60824135,NA,3.291235203,NA,0.0770945,NA,NA,0.00090143,0.011692534,0.003660824,12.97141798,NA,0.60427675,0.273294258,47.86058753,79.20309279,67.53057622,0.000183606,0.000303844,0.015702844,0.02598618,0.000259065,0.02215648,1.410985107,0.852625495,7543.867925,594.339623,538.5899552,19.19081766,28.06498215,12.69285714,464900,38707.15279,71.86757276,2016.962147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260.67,NA,NA,NA,NA,NA,1.274388796,1.460446784,2.416091052,-0.209782864,1.165427132,0.955644268,2.398839109,2.951387989,3.495544338,-0.55453336,0.075026218,-1.415914987,-0.876361771,-1.048612011,-0.504455662,-1.005243055,0.010703447,0.012837225,NA,1.112987454,NA,NA,0.483999699,-0.628976907,NA,NA,-3.48264108,-2.436421134,1.563578866,NA,0.51735892,NA,-1.112976606,NA,NA,-3.045067959,-1.932091353,-0.218764115,0.14952243,-0.069241685,-0.563369493,1.829500455,1.679978026,1.898742141,-3.736113026,-3.517348911,-3.586590596,-1.804021673,-1.585257558,-1.654499244,3.877594076,2.774034684,5.667359546,2.731258249,1.283093479,4.587791227,1.44816477,1.856532977,3.304697748,1.103559392
87,GR3 S1 40+,Soil,40,55,47.5,WM,GR3,C,Cr,I,6.796,0.51,276.5,7.3,2480,49.7033958,6.74,6.99,11.73,64.23,24.04,Y,NA,NA,NA,NA,14.98,23.66,0.633136095,209.8698,732.7502,0.286287516,NA,NA,NA,0.07327502,0.0934,0.02098698,0.03,2750,0.275,15.25700935,9.659763314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7891.30129,628.83939,563.3947532,20.30479141,27.74688702,12.5489933,467500,38923.62643,69.08766227,1916.967559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228.55,2.75,NA,NA,NA,NA,1.203576775,1.37401474,2.358981226,-0.198502927,1.183469412,0.984966485,2.324014386,2.864955946,3.439332694,-0.54319759,NA,NA,NA,-1.135044054,-0.560667306,-1.029653124,0.009020204,0.012837225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.897148625,2.798539738,5.669781615,2.750812798,1.307598532,4.590213296,1.443214266,1.839400498,3.282614763,1.098608887
76,GR3 2 O,Organic,1,0,0.5,WM,GR3,O,O,J,6.796,0.51,276.5,7.3,2480,42.80610986,NA,NA,NA,NA,NA,Z,NA,NA,0.51,0.18,246.05,27.88,8.825322812,3447.1605,863.4436,3.992088498,NA,NA,NA,0.08634436,7.00E-04,0.34471605,0,101660,10.166,34.39991872,303.5903874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448900,37375.00729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8464.1,22.8,NA,NA,-0.292429824,-0.744727495,2.392784858,1.445292769,3.927580786,0.9457306,1.536557416,2.482288016,3.537587473,2.936233975,5.007150105,0.60120016,NA,NA,NA,-1.063766025,1.007150105,-3.15490196,0.128630588,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.652149605,NA,NA,4.572581286,NA,NA,NA,NA
89,GR3 S2 0-2,Soil,0,2,1,WM,GR3,A,A,J,6.796,0.51,276.5,7.3,2480,47.32036293,6.38,6.82,15.94,65.38,18.68,Z,0.3976,0.1714,NA,NA,75.12,26.2,2.867175573,1052.4312,811.414,1.296671473,8.909006751,0.287665701,1.09796069,0.0811414,0.0134,0.10524312,0.02,16990,1.699,18.83040469,53.99007634,3.398480154,7.514327456,25.98193727,1.468981008,0.195490683,0.000605435,0.002057558,312.0690486,6.054346457,20.57557628,0.0075241,0.056538548,7.514327456,0.000138201,0.001038487,0.018367764,0.031206905,17.68748956,132.9095885,NA,NA,NA,138.668162,173.751432,NA,9.80E-05,NA,0.005337099,0.000122832,0.006687393,NA,1.253001623,12603.16186,881.706399,899.7952309,28.46969322,31.60537151,14.29405738,439500,36592.3718,40.6674436,1285.309663,69.85,2.54,0.93,0.3,22.62391537,0.564609375,3.5,25.73,0.14,70.78,29.52,51.3,0,20.2,30.4,0,0,0,0,71.5,30.4,1414.54,26.03397959,-0.400553624,-0.765989182,NA,NA,1.88149878,1.418301291,3.150615233,0.457454288,1.274859654,1.732313942,3.022606177,2.909242497,4.230193379,0.112829956,0.949829288,-0.541111917,0.040586791,-1.090757503,0.230193379,-1.872895202,0.04345782,0.008600172,0.531284738,1.247666197,2.123556313,0.875890117,1.41467153,0.167016181,-0.708873936,-3.21793273,-2.686647992,-1.505749303,2.494250697,0.78206727,1.313352008,-2.123545466,-1.247655349,0.875890117,-3.859489169,-2.983599052,-1.735943703,NA,NA,0.097951633,NA,2.239928393,NA,2.141976759,NA,-4.008638474,-3.91068684,NA,-2.272694771,-2.174743137,4.100479514,2.945323993,5.642958879,2.954143687,1.454382787,4.56339056,1.4997609,1.609246873,3.109007773,1.155155521
91,GR3 S2 2-7,Soil,2,7,4.5,WM,GR3,A,A,J,6.796,0.51,276.5,7.3,2480,46.63936599,6.48,6.81,16.36,64.05,19.6,Z,NA,NA,NA,NA,79.57,29.3,2.715699659,1114.7757,907.421,1.228221941,10.04287271,0.324277453,1.106748985,0.0907421,0.0472,0.11147757,0.06,35450,3.545,37.09048636,100.7266212,17.32825136,38.31423137,2.520226454,0.55859197,0.014579229,4.52E-05,0.000782403,30.27043994,0.451518736,7.824030149,0.005784889,0.221643563,38.31423137,4.94E-06,0.00018927,0.000853941,0.003027044,4.51186114,172.8684916,NA,NA,NA,118.0426183,99.50830483,NA,4.00E-05,NA,0.0468381,3.37E-05,0.039483874,NA,0.842986256,15332.01166,1200.699708,1094.619836,38.76976778,28.23385073,12.76923077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2951.29,NA,NA,NA,NA,NA,1.906173364,1.46686762,3.470011886,0.433881738,1.569262528,2.003144266,3.047576899,2.957808826,4.54961624,0.089276851,1.001857958,-0.489083247,0.044049132,-1.042191174,0.54961624,-1.326058001,0.045900703,0.025305865,1.238754739,0.654355725,2.237715843,1.583360117,0.401439566,-0.252905312,-1.836265429,-4.345324224,-3.106569485,-2.518981267,1.481018733,-0.345324224,0.893430515,-2.237704995,-0.654344878,1.583360117,-5.306277315,-3.722917198,-3.06857232,NA,NA,-0.074179506,NA,1.997859328,NA,2.072038834,NA,-4.397973052,-4.472152558,NA,-1.329400732,-1.403580238,4.185599141,3.079434405,NA,3.039263314,1.5884932,NA,1.450770114,NA,NA,1.106164736
94,GR3 S2 7-10,Soil,7,10,8.5,WM,GR3,A,A,J,6.796,0.51,276.5,7.3,2480,50.57811679,6.52,6.95,14.82,58.98,26.2,Z,NA,NA,NA,NA,46.7,30.28,1.542272127,654.267,937.7716,0.697506772,2.808633014,0.090688828,0.299500754,0.09377716,0.0293,0.0654267,0.02,15130,1.513,26.96702355,41.59048877,2.933005357,6.485123256,10.50556134,0.256686769,0.039580862,0.000122582,0.000359533,126.1822973,1.225819296,3.595334562,0.00376761,0.024433418,6.485123256,3.14E-05,0.000203823,0.008341984,0.01261823,40.92857534,265.4268558,0.218978102,0.099036506,6.256674456,28.57214668,32.00322622,4.97E-06,2.27E-05,0.000595558,0.002719716,2.54E-05,0.003046313,5.115053763,1.120084766,9541.083032,770.252708,681.1799376,24.87093019,27.38859916,12.38695162,374900,31213.83433,45.82318505,1255.032847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1259.36,NA,NA,NA,NA,NA,1.678518379,1.481155871,3.100149895,0.18816101,1.430833014,1.618994024,2.816418297,2.972097076,4.179838928,-0.156451572,0.448494996,-1.042446209,-0.52360208,-1.027902924,0.179838928,-1.53313238,0.027523576,0.008600172,0.467312856,1.612026628,2.423944863,0.811918235,1.021419263,-0.590596517,-1.402514752,-3.911573547,-3.44426069,-1.89900157,2.10099843,0.088426453,0.55573931,-2.423934015,-1.61201578,0.811918235,-4.502664647,-3.690746412,-2.078730632,-0.659599312,0.708850203,0.04925089,-1.004204691,1.505193761,0.796343559,1.455942871,-5.303806336,-4.644207024,-4.594956134,-3.225075704,-2.565476392,-2.516225502,3.979597675,2.886633234,5.57391544,2.833261848,1.395692028,4.494347121,1.43756982,1.661085273,3.098655093,1.092964441
90,GR3 S2 10-20,Soil,10,20,15,WM,GR3,B,B,J,6.796,0.51,276.5,7.3,2480,49.71685929,6.51,7,13.5,58.84,27.66,Z,NA,NA,NA,NA,29.25,32.12,0.910647572,409.7925,994.7564,0.411853416,3.043917624,0.098286007,0.305996285,0.09947564,0.0908,0.04097925,0.04,5330,0.533,15.16547009,13.81039851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.18199556,30.18845029,NA,8.83E-05,NA,NA,6.81E-05,NA,NA,0.770467401,10034.67312,1097.433414,716.4195078,35.43537016,20.2176386,9.14376489,336500,28016.68512,39.10653579,790.6418077,81.8,0.89,0.28,0,8.899070101,0.521645464,7.61,10.31,0.74,82.08,17.92,74.3,0,27.9,0,0,0,0,0,102.2,0,443.59,4.43319023,NA,NA,NA,NA,1.480725379,1.506775537,2.646981747,-0.040649666,1.180855877,1.140206211,2.613622506,2.997716742,3.726727209,-0.385257328,0.483432895,-1.00750831,-0.514283847,-1.002283258,-0.273272791,-1.041914151,0.017442073,0.017033339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.113245732,NA,1.479840819,NA,1.593086551,NA,-4.053895196,-4.167140928,NA,NA,NA,4.00150323,3.040378179,5.526985069,2.855167403,1.549436974,4.447416749,1.305730429,1.592249346,2.897979775,0.961125051
92,GR3 S2 20-31,Soil,20,31,25.5,WM,GR3,B,B,J,6.796,0.51,276.5,7.3,2480,49.3751004,6.38,7,5.99,64.41,29.59,Z,NA,NA,NA,NA,20.47,33.08,0.618802902,286.7847,1024.4876,0.27985945,1.367598016,0.044158799,0.133490929,0.10244876,0.1014,0.02867847,0.03,3610,0.361,14.67757694,9.082527207,2.967299163,6.560949766,NA,0.049227233,0.007503065,2.32E-05,6.90E-05,NA,0.232369927,0.68951109,NA,NA,NA,2.50E-05,0.000163845,NA,NA,NA,NA,NA,NA,NA,15.57807496,12.46488269,NA,5.18E-05,NA,NA,4.15E-05,NA,NA,0.800155521,8409.783439,852.993631,600.4114773,27.54257769,21.79939307,9.859139779,465700,38773.76006,64.5786457,1407.775282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300.45,NA,NA,NA,NA,NA,1.331832044,1.519565501,2.477772208,-0.208447658,1.166654366,0.958206707,2.459067701,3.010506706,3.557507202,-0.553060023,0.135958462,-1.354982743,-0.874548244,-0.989493294,-0.442492798,-0.993962045,0.01227965,0.012837225,0.472361334,NA,NA,0.816966713,NA,-1.307794571,-2.124761284,-4.633820078,-4.161458744,NA,NA,-0.633820078,-0.161458744,NA,NA,NA,-4.602533492,-3.78556678,NA,NA,NA,-0.096825594,NA,1.095688196,NA,1.192513789,NA,-4.285258419,-4.382084013,NA,NA,NA,3.924784812,2.930945788,5.668106238,2.778448985,1.440004583,4.588537919,1.338444402,1.810088933,3.148533335,0.993839024
93,GR3 S2 31+,Soil,31,55,43,WM,GR3,C,Cr,J,6.796,0.51,276.5,7.3,2480,46.6979439,6.55,7.09,11.39,76.32,12.29,Z,NA,NA,NA,NA,7.2,38.23,0.188333769,100.872,1183.9831,0.085120219,NA,NA,NA,0.11839831,0.2309,0.0100872,0.02,1530,0.153,17.66527778,3.326968349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6885.34005,586.700252,491.5747499,18.94414763,25.94863383,11.73570324,487100,40555.50467,82.50119576,2140.793319,88.99,0,1.05,0,3.91014889,0,6.04,3.91,1.55,90.05,9.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.19,1.53,NA,NA,NA,NA,0.913813852,1.582404298,2.104452967,-0.725071802,1.247120471,0.522048669,2.008054833,3.073345503,3.184691431,-1.069967268,NA,NA,NA,-0.926654497,-0.815308569,-0.636576067,0.004358868,0.008600172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.837925394,2.768416275,5.68761813,2.691589567,1.277475069,4.60804981,1.414114498,1.916460243,3.330574741,1.069509119
77,GR3 3 O,Organic,1,0,0.5,WM,GR3,O,O,K,6.796,0.51,276.5,7.3,2480,40.99921698,NA,NA,NA,NA,NA,AA,NA,NA,0.53,0.17,214.67,29.33,7.319127174,3007.5267,908.3501,3.310155777,NA,NA,NA,0.09083501,7.00E-04,0.30075267,0,84110,8.411,32.62346858,238.7753154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7003.28,84.11,NA,NA,-0.27572413,-0.769551079,2.333789738,1.467312063,3.84530149,0.864459293,1.513530134,2.377989427,3.47835387,2.958253268,4.924847633,0.519848432,NA,NA,NA,-1.041746732,0.924847633,-3.15490196,0.114194726,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,GR3 S3 0-2,Soil,0,2,1,WM,GR3,A,A,K,6.796,0.51,276.5,7.3,2480,43.35657286,6.79,7.39,13.09,81.85,5.06,AA,0.3997,0.1524,NA,NA,97.74,36.17,2.702239425,1369.3374,1120.1849,1.222163701,7.436487099,0.240119054,0.663862466,0.11201849,0.0187,0.13693374,0.02,20170,2.017,17.18344588,46.4337849,16.44890091,36.36991305,19.97604117,1.387946341,0.038161937,0.000118188,0.001944055,239.9322305,1.181875198,19.44054802,0.001910385,0.069480551,36.36991305,2.27E-05,0.0008264,0.01189397,0.023993223,14.39287639,523.4676629,NA,NA,NA,22.47297587,NA,NA,1.34E-05,NA,0.001124996,NA,NA,NA,NA,9392.019231,814.326923,670.5376164,26.29405628,25.50149012,11.53347503,398400,33170.42304,49.46840003,1261.517914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1679.51,11.92843318,-0.398265852,-0.817015033,NA,NA,1.994493123,1.558348509,3.225182594,0.431723826,1.235110259,1.666834085,3.136827511,3.049289714,4.304705898,0.087129381,0.871367829,-0.619573377,-0.177921885,-0.950710286,0.304705898,-1.728158393,0.055735155,0.008600172,1.216136884,1.158147596,2.718889858,1.560742263,1.300509424,0.142372676,-1.418369586,-3.927428381,-2.711291497,-1.619911409,2.380088591,0.072571619,1.288708503,-2.718879011,-1.158136748,1.560742263,-4.64355218,-3.082809918,-1.92467317,NA,NA,NA,NA,NA,NA,1.351660585,NA,-4.873522009,NA,NA,-2.948848839,NA,3.972758973,2.910798794,5.60031933,2.826423146,1.419857588,4.52075101,1.406565558,1.694327864,3.100893422,1.06196018
97,GR3 S3 2-8,Soil,2,8,5,WM,GR3,A,A,K,6.796,0.51,276.5,7.3,2480,45.29046733,6.72,7.74,20.91,73.86,5.23,AA,NA,NA,NA,NA,30.75,27.24,1.128854626,430.8075,843.6228,0.510598193,25.60125711,0.826646985,3.03468056,0.08436228,0.0521,0.04308075,0.03,9690,0.969,26.2500813,29.6325257,NA,NA,23.30504867,0.995880707,NA,NA,0.0013949,279.9169396,NA,13.9490023,NA,0.042732402,NA,NA,0.001233762,0.028871825,0.027991694,23.4020306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12244.69361,1341.434159,874.2026038,43.31398641,20.18291726,9.128061581,347500,28932.53516,33.0959151,667.9721161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,807.19,NA,NA,NA,NA,NA,1.50174373,1.435207103,2.906975773,0.052638017,1.419130653,1.47176867,2.635290181,2.926148309,3.986323777,-0.291920726,1.408261291,-0.082679914,0.482112983,-1.073851691,-0.013676223,-1.283162277,0.018317931,0.012837225,NA,1.369253543,NA,NA,1.367450014,-0.001792681,NA,NA,-2.855456854,-1.552970819,2.447029181,NA,1.144543146,NA,-1.369242695,NA,NA,-2.908768454,-1.539525759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.087947923,3.127569361,5.540954809,2.941612096,1.636628156,4.46138649,1.30498394,1.519774394,2.824758334,0.960378561
100,GR3 S3 8-17,Soil,8,17,12.5,WM,GR3,B,B,K,6.796,0.51,276.5,7.3,2480,46.76390953,6.69,8.22,16.92,60.29,22.78,AA,NA,NA,NA,NA,33.22,30.93,1.074038151,465.4122,957.9021,0.485734568,15.13038497,0.488549725,1.579533542,0.09579021,0.0795,0.04654122,0.04,7350,0.735,18.41872366,19.7824119,3.998998975,8.842125429,17.33921027,0.473431025,0.053542672,0.000165822,0.000663121,208.2612545,1.658216564,6.631206339,0.003087953,0.027304071,8.842125429,8.75E-05,0.000773744,0.028338062,0.020826125,36.62549018,323.8471781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10442.68657,1215.223881,745.5493849,39.23874333,19.00033797,8.593220338,308400,25677.10458,34.44051474,654.38142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,611.87,11.46573873,NA,NA,NA,NA,1.534280005,1.49037992,2.78665916,0.031019708,1.265259532,1.29627924,2.668769902,2.981321125,3.866287339,-0.313600988,1.179849978,-0.311091227,0.198528853,-1.018678875,-0.133712661,-1.099632871,0.019756339,0.017033339,0.601951293,1.563783446,2.510340117,0.946556671,1.239029313,-0.324743285,-1.271299956,-3.780358751,-3.178407458,-1.68139152,2.31860848,0.219641249,0.821592542,-2.510329269,-1.563772598,0.946556671,-4.057959117,-3.111402445,-1.547629847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.018812243,3.084656295,5.489114369,2.872476416,1.59371509,4.40954605,1.278761326,1.537069634,2.81583096,0.934155948
96,GR3 S3 17-27,Soil,17,27,22,WM,GR3,B,B,K,6.796,0.51,276.5,7.3,2480,46.84180592,6.52,7.94,17.05,60.17,22.78,AA,NA,NA,NA,NA,34.74,27,1.286666667,486.7074,836.19,0.581983878,33.23350556,1.073087038,3.974396436,0.083619,0.0763,0.04867074,0.04,17380,1.738,41.65601612,53.59740741,NA,NA,5.034849052,0.405792229,NA,NA,0.000568381,60.47357196,NA,5.683810007,NA,0.080596702,NA,NA,0.000280412,0.003479196,0.006047357,12.40776549,NA,NA,NA,NA,12.91812741,NA,NA,8.93E-06,NA,0.002565743,NA,NA,NA,NA,9081.858191,1146.894866,648.3938537,37.03244643,17.5088042,7.918649268,414300,34494.24263,53.1995213,931.4600022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1447.13,NA,NA,NA,NA,NA,1.553154548,1.431363764,3.160507547,0.10946605,1.619677733,1.729143783,2.688159345,2.92230497,4.240049772,-0.235089046,1.521576154,0.030634949,0.599271185,-1.07769503,0.240049772,-1.117475462,0.02063915,0.017033339,NA,1.093693577,NA,NA,0.701986455,-0.391696275,NA,NA,-3.245360448,-2.218434378,1.781565622,NA,0.754639552,NA,-1.093682729,NA,NA,-3.552203821,-2.458521092,NA,NA,NA,NA,NA,NA,1.111199564,NA,-5.049307983,NA,NA,-2.590786891,NA,3.958174716,3.059523609,5.617314933,2.811838889,1.568582403,4.537746614,1.243256486,1.725907724,2.969164211,0.898651108
